,Building Name,Unit heating efficiency (COP),Unit heating efficiency curves1,Unit heating efficiency curves2,Unit heating efficiency curves3,Unit heating efficiency curves4,Unit heating efficiency curves5,Unit heating efficiency curves6,Unit cooling efficiency (COP),Unit cooling efficiency curves1,Unit cooling efficiency curves2,Unit cooling efficiency curves3,Unit cooling efficiency curves4,Unit cooling efficiency curves5,Unit DHW Loss Coefficient - ON,Unit DHW Loss Coefficient - OFF,Unit DHW Thermal Efficiency,Unit LPD [W/sf],Unit Ventilation Flowrate [m3/s],Unit Ventilation SP [Pa],Unit HVAC Fan SP [Pa],Exterior Wall Insulation Conductivity [W/m*K],Ceiling Insulation Conductivity [W/m*K],Slab Insulation Conductivity [W/m*K],Windows Ufactor [W/m2*K],Windows SHGC,Lighting Stairwell [W],Internal Parking Lights [W],External Parking Lights [W],Unit heating setpoint temp [C],Unit cooling setpoint temp [C],Corridor heating efficiency (COP),Corridor heating efficiency curves1,Corridor heating efficiency curves2,Corridor heating efficiency curves3,Corridor heating efficiency curves4,Corridor heating efficiency curves5,Corridor heating efficiency curves6,Corridor cooling efficiency (COP),Corridor cooling efficiency curves1,Corridor cooling efficiency curves2,Corridor cooling efficiency curves3,Corridor cooling efficiency curves4,Corridor cooling efficiency curves5,Corridor LPD (W/sf),Corridor Ventilation Flowrate [m3/s],Corridor Ventilation SP [Pa],Corridor HVAC Fan SP [Pa],Corridor heating setpoint temp [C],Corridor cooling setpoint temp [C]
10,313034_001,1.0,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.8,0.8,0.92,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,25.247275799999997,bsmtLpd,306.6554322,unitHeatingSetpoint,unitCoolingSetpoint,1,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,Invalid Equipment Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,flatHPACCOOLPLFFPLR,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
11,315003_001,1.0,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.8,0.8,0.95,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,30.783848039999995,bsmtLpd,1467.8035865999998,unitHeatingSetpoint,unitCoolingSetpoint,1,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,Invalid Equipment Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,flatHPACCOOLPLFFPLR,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
12,317028_001,1.0,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling/Heating,0.8,0.8,0.92,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,31.12391928,bsmtLpd,0.0,unitHeatingSetpoint,unitCoolingSetpoint,1,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,Invalid Equipment Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,flatHPACCOOLPLFFPLR,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
13,320032_001,2.5,HPACHeatCapFT,HPACHeatCapFFF,HPACHPACHeatEIRFT,HPACHPACHeatEIRFFF,HPACHPACCOOLPLFFPLR,HPACDefrost_EIR_FT,2.5,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.5,0.5,0.95,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,53.052631559999995,bsmtLpd,492.16170120000004,unitHeatingSetpoint,unitCoolingSetpoint,2.5,HPACHeatCapFT,HPACHeatCapFFF,HPACHPACHeatEIRFT,HPACHPACHeatEIRFFF,HPACHPACCOOLPLFFPLR,HPACDefrost_EIR_FT,2.5,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
14,400021_001,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.5,0.5,0.96,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,304.05405408,bsmtLpd,0.0,unitHeatingSetpoint,unitCoolingSetpoint,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling/Heating,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
15,400040_001,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.8,0.8,0.72,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,31.384615439999997,bsmtLpd,0.0,unitHeatingSetpoint,unitCoolingSetpoint,1,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,Invalid Equipment Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,flatHPACCOOLPLFFPLR,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
16,400042_001,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.5,0.5,0.96,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,336.39344267999996,bsmtLpd,1442.01681,unitHeatingSetpoint,unitCoolingSetpoint,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling/Heating,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
17,400043_001,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.5,0.5,0.92,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,70.98331188,bsmtLpd,178.8523464,unitHeatingSetpoint,unitCoolingSetpoint,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling/Heating,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
18,400044_001,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,2,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.5,0.5,0.97,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,0.0,bsmtLpd,1276.2284418,unitHeatingSetpoint,unitCoolingSetpoint,0.8,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling,No Cooling/Heating,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
19,400045_001,2.5,HPACHeatCapFT,HPACHeatCapFFF,HPACHPACHeatEIRFT,HPACHPACHeatEIRFFF,HPACHPACCOOLPLFFPLR,HPACDefrost_EIR_FT,2.5,HPACcoolCapFT,HPACcoolCapFFF,HPACHPACcoolEIRFT,HPACHPACcoolEIRFFF,HPACHPACCOOLPLFFPLR,0.8,0.8,0.64,unitLpd,unitVentilationFlowrate,unitVentilationFlowrate,unitHvacFanSP,extWallCond,ceilingCond,slabCond,windowU,windowSHGC,33.64948452,bsmtLpd,0.0,unitHeatingSetpoint,unitCoolingSetpoint,1,flatHeatCapFT,flatHeatCapFFF,flatHPACHeatEIRFT,flatHPACHeatEIRFFF,flatHPACCOOLPLFFPLR,flatDefrost_EIR_FT,Invalid Equipment Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,Invalid Curve Type,flatHPACCOOLPLFFPLR,commonLpd,commonVentilationFlowrate,commonVentilationSP,commonHvacFanSP,commonHeatingSetpoint,commonCoolingSetpoint
